oa_work_id,counts_by_year_json
https://openalex.org/W2962998867,"[{""year"": 2023, ""cited_by_count"": 1}, {""year"": 2022, ""cited_by_count"": 1}, {""year"": 2021, ""cited_by_count"": 6}, {""year"": 2020, ""cited_by_count"": 21}, {""year"": 2019, ""cited_by_count"": 5}, {""year"": 2018, ""cited_by_count"": 8}, {""year"": 2017, ""cited_by_count"": 6}, {""year"": 2016, ""cited_by_count"": 1}, {""year"": 2015, ""cited_by_count"": 7}, {""year"": 2014, ""cited_by_count"": 5}, {""year"": 2013, ""cited_by_count"": 1}]"
https://openalex.org/W2109233118,"[{""year"": 2020, ""cited_by_count"": 3}, {""year"": 2019, ""cited_by_count"": 4}, {""year"": 2018, ""cited_by_count"": 1}, {""year"": 2017, ""cited_by_count"": 2}, {""year"": 2016, ""cited_by_count"": 3}, {""year"": 2015, ""cited_by_count"": 3}, {""year"": 2014, ""cited_by_count"": 4}, {""year"": 2013, ""cited_by_count"": 3}]"
https://openalex.org/W2145908112,"[{""year"": 2025, ""cited_by_count"": 1}, {""year"": 2024, ""cited_by_count"": 3}, {""year"": 2023, ""cited_by_count"": 5}, {""year"": 2022, ""cited_by_count"": 2}, {""year"": 2021, ""cited_by_count"": 6}, {""year"": 2020, ""cited_by_count"": 7}, {""year"": 2019, ""cited_by_count"": 20}, {""year"": 2018, ""cited_by_count"": 7}, {""year"": 2017, ""cited_by_count"": 16}, {""year"": 2016, ""cited_by_count"": 7}, {""year"": 2015, ""cited_by_count"": 6}, {""year"": 2014, ""cited_by_count"": 5}, {""year"": 2013, ""cited_by_count"": 2}]"
https://openalex.org/W2144205758,[]
https://openalex.org/W2117964625,"[{""year"": 2024, ""cited_by_count"": 1}, {""year"": 2023, ""cited_by_count"": 1}, {""year"": 2021, ""cited_by_count"": 4}, {""year"": 2020, ""cited_by_count"": 3}, {""year"": 2019, ""cited_by_count"": 2}, {""year"": 2018, ""cited_by_count"": 4}, {""year"": 2017, ""cited_by_count"": 2}, {""year"": 2016, ""cited_by_count"": 1}, {""year"": 2015, ""cited_by_count"": 3}, {""year"": 2014, ""cited_by_count"": 1}, {""year"": 2013, ""cited_by_count"": 2}]"
https://openalex.org/W2171791004,"[{""year"": 2022, ""cited_by_count"": 2}, {""year"": 2021, ""cited_by_count"": 2}, {""year"": 2020, ""cited_by_count"": 1}, {""year"": 2019, ""cited_by_count"": 2}, {""year"": 2017, ""cited_by_count"": 1}, {""year"": 2016, ""cited_by_count"": 2}, {""year"": 2015, ""cited_by_count"": 2}, {""year"": 2014, ""cited_by_count"": 1}, {""year"": 2013, ""cited_by_count"": 2}]"
https://openalex.org/W2095897186,"[{""year"": 2025, ""cited_by_count"": 1}, {""year"": 2023, ""cited_by_count"": 1}, {""year"": 2019, ""cited_by_count"": 6}, {""year"": 2018, ""cited_by_count"": 3}, {""year"": 2017, ""cited_by_count"": 3}, {""year"": 2016, ""cited_by_count"": 8}, {""year"": 2015, ""cited_by_count"": 2}, {""year"": 2014, ""cited_by_count"": 7}, {""year"": 2013, ""cited_by_count"": 4}, {""year"": 2012, ""cited_by_count"": 1}]"
https://openalex.org/W2146453284,"[{""year"": 2025, ""cited_by_count"": 1}, {""year"": 2022, ""cited_by_count"": 1}, {""year"": 2021, ""cited_by_count"": 1}, {""year"": 2020, ""cited_by_count"": 2}, {""year"": 2014, ""cited_by_count"": 1}]"
https://openalex.org/W2155291008,"[{""year"": 2025, ""cited_by_count"": 1}, {""year"": 2021, ""cited_by_count"": 5}, {""year"": 2020, ""cited_by_count"": 1}, {""year"": 2019, ""cited_by_count"": 6}, {""year"": 2018, ""cited_by_count"": 15}, {""year"": 2017, ""cited_by_count"": 9}, {""year"": 2016, ""cited_by_count"": 14}, {""year"": 2015, ""cited_by_count"": 3}, {""year"": 2014, ""cited_by_count"": 8}, {""year"": 2013, ""cited_by_count"": 5}, {""year"": 2012, ""cited_by_count"": 1}]"
https://openalex.org/W2117242598,"[{""year"": 2022, ""cited_by_count"": 1}, {""year"": 2021, ""cited_by_count"": 6}, {""year"": 2020, ""cited_by_count"": 1}, {""year"": 2019, ""cited_by_count"": 6}, {""year"": 2018, ""cited_by_count"": 3}, {""year"": 2017, ""cited_by_count"": 8}, {""year"": 2016, ""cited_by_count"": 7}, {""year"": 2015, ""cited_by_count"": 5}, {""year"": 2014, ""cited_by_count"": 9}, {""year"": 2013, ""cited_by_count"": 5}]"
