topic,year,n_papers,n_authors,n_papers_t1,n_authors_t1,topic_share_t1,cross_topic_rate_t1,connectivity_t1,modularity_t1,bridge_concentration_t1,topic_growth,median_cites_2yr,log1p_median_c2,hit_rate_2yr,topic_share_t
Anomaly Detection Techniques and Applications,2023,36,181,24.0,137.0,0.00862688713156,0.3211678832116788,7.211678832116788,0.8559065055975348,1.0,0.1765724814140865,2.0,1.0986122886681096,0.0833333333333333,0.0103122314523059
Auction Theory and Applications,2022,24,88,20.0,69.0,0.0086918730986527,0.3478260869565217,3.449275362318841,0.8784722222222222,0.9605263157894738,-0.0074190484166445,0.0,0.0,0.0,0.00862688713156
Auction Theory and Applications,2023,29,103,24.0,88.0,0.00862688713156,0.25,3.3181818181818183,0.9209983111277912,1.0,-0.0373350815654811,0.0,0.0,0.0,0.0083070753365797
Bayesian Modeling and Causal Inference,2016,21,64,23.0,66.0,0.0585241730279898,0.1515151515151515,2.575757575757576,0.9153596538669552,1.0,-0.4441430701387325,1.0,0.6931471805599453,0.0,0.0375
Bayesian Modeling and Causal Inference,2019,28,83,33.0,106.0,0.0331325301204819,0.2452830188679245,3.169811320754717,0.923469387755102,1.0,-0.5148187177378456,1.5,0.9162907318741552,0.0357142857142857,0.0197600564573041
Bayesian Modeling and Causal Inference,2020,43,140,28.0,83.0,0.0197600564573041,0.3132530120481928,2.7710843373493974,0.9233691284973335,0.9553072625698322,0.1418801191955663,3.0,1.3862943611198906,0.0232558139534883,0.0227874933757286
Bayesian Modeling and Causal Inference,2021,45,146,43.0,140.0,0.0227874933757286,0.3357142857142857,3.271428571428572,0.9489371027832566,1.0,-0.1521716372170791,0.0,0.0,0.0,0.0195567144719687
Bayesian Modeling and Causal Inference,2022,47,183,45.0,146.0,0.0195567144719687,0.273972602739726,3.4383561643835616,0.9506940688660536,1.0,-0.1455397755501528,0.0,0.0,0.0,0.0168943206326383
Bayesian Modeling and Causal Inference,2023,69,244,47.0,183.0,0.0168943206326383,0.2459016393442623,3.956284153005464,0.9485690868110102,1.0,0.1560857330982474,0.0,0.0,0.0,0.0197651102835863
Domain Adaptation and Few-Shot Learning,2018,48,205,23.0,87.0,0.0344827586206896,0.2758620689655172,3.724137931034482,0.8968907178783722,1.0,0.3339266303586714,13.0,2.639057329615259,0.2708333333333333,0.0481927710843373
Domain Adaptation and Few-Shot Learning,2019,63,284,48.0,205.0,0.0481927710843373,0.1609756097560975,4.614634146341463,0.9475434027777778,0.9968237162519852,-0.080442436112293,7.0,2.079441541679836,0.1587301587301587,0.0444601270289343
Domain Adaptation and Few-Shot Learning,2020,127,523,63.0,284.0,0.0444601270289343,0.2640845070422535,4.704225352112676,0.953713521942526,1.0,0.4138440977413604,6.0,1.9459101490553128,0.1889763779527559,0.0673025967143614
Domain Adaptation and Few-Shot Learning,2021,166,688,127.0,523.0,0.0673025967143614,0.2868068833652007,4.409177820267686,0.970707556148044,0.999656652360515,0.0693456179746601,2.0,1.0986122886681096,0.1746987951807229,0.0721425467188179
Domain Adaptation and Few-Shot Learning,2022,178,826,166.0,688.0,0.0721425467188179,0.3299418604651162,4.261627906976744,0.9810878382234628,1.0,-0.1198540040214046,2.0,1.0986122886681096,0.1179775280898876,0.0639827462257368
Domain Adaptation and Few-Shot Learning,2023,171,826,178.0,826.0,0.0639827462257368,0.2711864406779661,4.728813559322034,0.987091316118284,1.0,-0.2666603902721114,1.0,0.6931471805599453,0.0818713450292397,0.0489830993984531
Explainable Artificial Intelligence (XAI),2021,41,166,35.0,166.0,0.0185479597244303,0.2289156626506024,6.072289156626506,0.8590325018896446,1.0,-0.0399119808705163,1.0,0.6931471805599453,0.0975609756097561,0.0178183398522381
Explainable Artificial Intelligence (XAI),2022,58,256,41.0,166.0,0.0178183398522381,0.2771084337349397,3.72289156626506,0.9594557823129252,1.0,0.1562332408868472,2.0,1.0986122886681096,0.1551724137931034,0.0208483105679367
Explainable Artificial Intelligence (XAI),2023,97,497,58.0,256.0,0.0208483105679367,0.3046875,5.0625,0.920582963227822,1.0,0.2860572566924086,0.0,0.0,0.0927835051546391,0.0277857347464909
Face and Expression Recognition,2023,43,212,28.0,133.0,0.0100647016534867,0.1954887218045112,4.556390977443609,0.9332418390353888,0.0,0.200176617363101,0.0,0.0,0.0232558139534883,0.012317387568032
Gaussian Processes and Bayesian Inference,2015,28,84,21.0,60.0,0.0522388059701492,0.1833333333333333,2.6,0.8941485864562787,1.0,0.309814680740121,4.0,1.6094379124341005,0.0357142857142857,0.0712468193384223
Gaussian Processes and Bayesian Inference,2016,21,62,28.0,84.0,0.0712468193384223,0.2738095238095238,2.880952380952381,0.917013865173144,1.0,-0.6405487142351403,5.0,1.791759469228055,0.1428571428571428,0.0375
Gaussian Processes and Bayesian Inference,2017,32,100,21.0,62.0,0.0375,0.2580645161290322,2.3870967741935485,0.9185536888239592,1.0,0.2457792911747147,2.5,1.252762968495368,0.0625,0.047976011994003
Gaussian Processes and Bayesian Inference,2018,35,117,32.0,100.0,0.047976011994003,0.29,2.84,0.9197579845268796,1.0,-0.3105855857775359,4.0,1.6094379124341005,0.0285714285714285,0.0351405622489959
Gaussian Processes and Bayesian Inference,2019,36,141,35.0,117.0,0.0351405622489959,0.2564102564102564,3.3846153846153846,0.9333,0.9910233393177738,-0.3232923931521578,3.0,1.3862943611198906,0.0555555555555555,0.0254057868736767
Gaussian Processes and Bayesian Inference,2020,45,166,36.0,141.0,0.0254057868736767,0.2553191489361702,4.127659574468085,0.9264652047094388,1.0,-0.0630465734443066,3.0,1.3862943611198906,0.0666666666666666,0.0238473767885532
Gaussian Processes and Bayesian Inference,2021,56,184,45.0,166.0,0.0238473767885532,0.3253012048192771,3.409638554216868,0.955462048471076,1.0,0.0202496004628383,1.0,0.6931471805599453,0.0357142857142857,0.0243372446762277
Gaussian Processes and Bayesian Inference,2022,40,145,56.0,184.0,0.0243372446762277,0.2989130434782608,3.5543478260869565,0.9526349988030504,1.0,-0.5234681034984661,0.0,0.0,0.025,0.0143781452192667
Gaussian Processes and Bayesian Inference,2023,41,151,40.0,145.0,0.0143781452192667,0.2896551724137931,3.1586206896551725,0.9574188135237696,1.0,-0.2007778584681752,0.0,0.0,0.024390243902439,0.0117444858206817
Generative Adversarial Networks and Image Synthesis,2017,35,138,20.0,80.0,0.0357142857142857,0.3125,4.25,0.852313532368934,0.9949409780775716,0.3838703391629692,19.0,2.995732273553991,0.4857142857142857,0.0524737631184407
Generative Adversarial Networks and Image Synthesis,2018,38,144,35.0,138.0,0.0524737631184407,0.2971014492753623,3.942028985507247,0.9220147603985988,1.0,-0.318005390484485,11.0,2.4849066497880004,0.2105263157894736,0.038152610441767
Generative Adversarial Networks and Image Synthesis,2019,61,235,38.0,144.0,0.038152610441767,0.2916666666666667,3.861111111111111,0.9408695431922088,1.0,0.1204403556177924,6.0,1.9459101490553128,0.180327868852459,0.0430486944248412
Generative Adversarial Networks and Image Synthesis,2020,69,251,61.0,235.0,0.0430486944248412,0.2978723404255319,3.6595744680851054,0.9638939967550028,1.0,-0.1628028722997352,4.0,1.6094379124341005,0.1739130434782608,0.0365659777424483
Generative Adversarial Networks and Image Synthesis,2021,72,275,69.0,251.0,0.0365659777424483,0.2948207171314741,3.537848605577689,0.9618381517485166,1.0,-0.1553362426306193,1.0,0.6931471805599453,0.2083333333333333,0.0312907431551499
Generative Adversarial Networks and Image Synthesis,2022,83,378,72.0,275.0,0.0312907431551499,0.2763636363636363,4.036363636363636,0.9374402696041446,0.9967500705201688,-0.0474963287358294,2.0,1.0986122886681096,0.144578313253012,0.0298346513299784
Generative Adversarial Networks and Image Synthesis,2023,106,533,83.0,378.0,0.0298346513299784,0.3068783068783068,4.7407407407407405,0.9636253219693004,1.0,0.0175221341250986,2.0,1.0986122886681096,0.2358490566037736,0.0303637926095674
Human Pose and Action Recognition,2022,34,164,25.0,115.0,0.0108648413733159,0.2608695652173913,4.173913043478261,0.9434375,0.0,0.1166455749708799,3.5,1.5040773967762742,0.1470588235294117,0.0122214234363767
Human Pose and Action Recognition,2023,40,209,34.0,164.0,0.0122214234363767,0.2621951219512195,4.743902439024391,0.9486672219908372,1.0,-0.063958628586648,1.0,0.6931471805599453,0.15,0.0114580349470065
Machine Learning and Algorithms,2014,33,92,26.0,79.0,0.0738636363636363,0.2658227848101265,2.6582278481012658,0.924625850340136,1.0,0.1054546203303576,2.0,1.0986122886681096,0.0,0.0820895522388059
Machine Learning and Algorithms,2015,32,90,33.0,92.0,0.0820895522388059,0.2391304347826087,2.652173913043478,0.8865268329554044,0.994597028365601,-0.0081192508823542,2.0,1.0986122886681096,0.0,0.0814249363867684
Machine Learning and Algorithms,2016,39,114,32.0,90.0,0.0814249363867684,0.2111111111111111,2.577777777777778,0.9340071343638524,1.0,-0.1560939324804366,3.0,1.3862943611198906,0.0256410256410256,0.0696428571428571
Machine Learning and Algorithms,2017,55,169,39.0,114.0,0.0696428571428571,0.1929824561403508,2.649122807017544,0.9362880886426592,1.0,0.1686954019084283,2.0,1.0986122886681096,0.0545454545454545,0.0824587706146926
Machine Learning and Algorithms,2018,72,246,55.0,169.0,0.0824587706146926,0.2544378698224852,2.8757396449704142,0.957700957934194,1.0,-0.1314538929891302,4.0,1.6094379124341005,0.0694444444444444,0.072289156626506
Machine Learning and Algorithms,2019,93,300,72.0,246.0,0.072289156626506,0.2479674796747967,3.430894308943089,0.961533517413012,0.9836363636363636,-0.0964764890501017,3.0,1.3862943611198906,0.075268817204301,0.0656316160903316
Machine Learning and Algorithms,2020,116,403,93.0,300.0,0.0656316160903316,0.2833333333333333,3.2133333333333334,0.9701011024742164,1.0,-0.0653527015974231,3.0,1.3862943611198906,0.0603448275862069,0.0614732379438261
Machine Learning and Algorithms,2021,121,447,116.0,403.0,0.0614732379438261,0.3746898263027295,3.4838709677419355,0.9795958379430588,1.0,-0.1558807455920665,1.0,0.6931471805599453,0.0909090909090909,0.0525858322468491
Machine Learning and Algorithms,2022,195,772,121.0,447.0,0.0525858322468491,0.319910514541387,3.713646532438479,0.9787074829931972,0.9956555236913068,0.286908533423921,0.0,0.0,0.0512820512820512,0.0700934579439252
Machine Learning and Algorithms,2023,195,858,195.0,772.0,0.0700934579439252,0.2979274611398964,4.230569948186528,0.9867560761419346,0.9981493816217438,-0.22665512875504,0.0,0.0,0.0615384615384615,0.0558579203666571
Markov Chains and Monte Carlo Methods,2020,20,67,20.0,60.0,0.0141143260409315,0.4833333333333333,2.6,0.8905325443786982,1.0,-0.2841155566013977,2.5,1.252762968495368,0.0,0.0105988341282458
