topic,year,n_papers,n_authors,n_papers_t1,n_authors_t1,topic_share_t1,cross_topic_rate_t1,connectivity_t1,modularity_t1,bridge_concentration_t1,topic_growth,median_cites_2yr,log1p_median_c2,hit_rate_2yr,topic_share_t
Advanced Bandit Algorithms Research,2023,123,412,110,358,0.0491949910554561,0.3994413407821229,3.4860335195530725,0.9707444383380696,0.9900649884216026,-0.1047541487809353,0.0,0.0,0.008130081300813,0.0442924018725243
Advanced Bandit Algorithms Research,2024,40,160,123,412,0.0442924018725243,0.3228155339805825,3.766990291262136,0.9618410483183908,0.9975640292688316,-0.8174019516371365,0.0,0.0,0.0,0.0195026816187225
Advanced Vision and Imaging,2022,34,173,25,104,0.0109409190371991,0.2403846153846154,3.9038461538461537,0.9300749711649368,1.0,0.3266186257670682,5.5,1.8718021769015916,0.3529411764705882,0.01520572450805
Advanced Vision and Imaging,2023,47,218,34,173,0.01520572450805,0.1734104046242774,5.5606936416184976,0.9342246707874228,0.9970577418168444,0.1064406079534494,2.0,1.0986122886681096,0.1063829787234042,0.0169247389268995
Advanced Vision and Imaging,2024,21,126,47,218,0.0169247389268995,0.2614678899082568,4.678899082568807,0.9514592851589876,1.0,-0.4987532775337202,1.0,0.6931471805599453,0.1904761904761904,0.0102389078498293
Adversarial Robustness in Machine Learning,2019,87,356,51,180,0.0513595166163142,0.2611111111111111,3.2333333333333334,0.958434978419966,1.0,0.1824345576809865,9.0,2.302585092994046,0.160919540229885,0.0616583982990786
Adversarial Robustness in Machine Learning,2020,109,419,87,356,0.0616583982990786,0.2696629213483146,4.174157303370786,0.9666312881013992,0.9969054524713904,-0.0593043179380696,5.0,1.791759469228055,0.128440366972477,0.0581023454157782
Adversarial Robustness in Machine Learning,2021,131,543,109,419,0.0581023454157782,0.3126491646778043,4.305489260143198,0.967167558056789,0.9955499764925868,-0.0133515989820658,1.0,0.6931471805599453,0.1068702290076335,0.0573304157549234
Adversarial Robustness in Machine Learning,2022,133,576,131,543,0.0573304157549234,0.3075506445672191,4.206261510128914,0.9782335637114477,1.0,0.036766310113081,2.0,1.0986122886681096,0.0225563909774436,0.0594812164579606
Adversarial Robustness in Machine Learning,2023,121,526,133,576,0.0594812164579606,0.2795138888888889,4.795138888888889,0.9791223515406344,0.9931419554530564,-0.3106286152869653,1.0,0.6931471805599453,0.0413223140495867,0.0435722002160604
Adversarial Robustness in Machine Learning,2024,31,152,121,526,0.0435722002160604,0.2984790874524715,5.395437262357414,0.9493040262121992,0.9975424352190092,-1.054457685104353,1.0,0.6931471805599453,0.0967741935483871,0.0151145782545099
Anomaly Detection Techniques and Applications,2022,20,109,22,80,0.0096280087527352,0.325,3.025,0.9261662454750358,1.0,-0.0728475409750526,3.0,1.3862943611198906,0.25,0.0089445438282647
Anomaly Detection Techniques and Applications,2023,30,147,20,109,0.0089445438282647,0.3394495412844037,7.321100917431193,0.8026080238189458,1.0,0.1868785756367934,2.5,1.252762968495368,0.0333333333333333,0.0108030248469571
Anomaly Detection Techniques and Applications,2024,26,122,30,147,0.0108030248469571,0.3061224489795918,4.843537414965986,0.925277742709254,1.0,0.1585863095904631,1.0,0.6931471805599453,0.1923076923076923,0.0126767430521696
Bayesian Modeling and Causal Inference,2016,21,64,23,66,0.0597402597402597,0.1515151515151515,2.575757575757576,0.9153596538669552,1.0,-0.4575251315024777,1.0,0.6931471805599453,0.0,0.0377697841726618
Bayesian Modeling and Causal Inference,2019,28,83,33,106,0.0332326283987915,0.2452830188679245,3.169811320754717,0.9234693877551016,1.0,-0.5136042807455725,1.5,0.9162907318741552,0.0357142857142857,0.0198440822111977
Bayesian Modeling and Causal Inference,2020,43,140,28,83,0.0198440822111977,0.3132530120481928,2.7710843373493974,0.9233691284973335,0.9553072625698324,0.1434790981114471,3.0,1.3862943611198906,0.0232558139534883,0.0229211087420042
Bayesian Modeling and Causal Inference,2021,45,146,43,140,0.0229211087420042,0.3285714285714285,3.271428571428572,0.9489371027832566,1.0,-0.1510501716616445,0.0,0.0,0.0,0.0196936542669584
Bayesian Modeling and Causal Inference,2022,36,132,45,146,0.0196936542669584,0.273972602739726,3.4383561643835616,0.950694068866054,1.0,-0.2003391099402649,1.0,0.6931471805599453,0.0,0.0161001788908765
Bayesian Modeling and Causal Inference,2023,56,198,36,132,0.0161001788908765,0.2803030303030303,3.621212121212121,0.9283333333333332,1.0,0.2239048711692675,0.0,0.0,0.0,0.0201656463809866
Bayesian Modeling and Causal Inference,2024,22,94,56,198,0.0201656463809866,0.3131313131313131,3.767676767676768,0.929026299333712,1.0,-0.626932642859451,0.0,0.0,0.0,0.0107264748902974
Domain Adaptation and Few-Shot Learning,2018,48,205,23,87,0.0346907993966817,0.2758620689655172,3.724137931034482,0.896890717878372,1.0,0.3309392722565416,13.0,2.639057329615259,0.2708333333333333,0.0483383685800604
Domain Adaptation and Few-Shot Learning,2019,63,284,48,205,0.0483383685800604,0.1609756097560975,4.614634146341463,0.947543402777778,0.996823716251985,-0.0792190072180294,7.0,2.079441541679836,0.1587301587301587,0.0446491849751949
Domain Adaptation and Few-Shot Learning,2020,127,523,63,284,0.0446491849751949,0.2640845070422535,4.704225352112676,0.9537135219425258,1.0,0.4154480795831565,6.0,1.9459101490553128,0.1889763779527559,0.0676972281449893
Domain Adaptation and Few-Shot Learning,2021,166,688,127,523,0.0676972281449893,0.2848948374760994,4.409177820267686,0.9707075561480436,0.999656652360515,0.0704760122251868,2.0,1.0986122886681096,0.1746987951807229,0.0726477024070021
Domain Adaptation and Few-Shot Learning,2022,154,718,166,688,0.0726477024070021,0.3284883720930232,4.261627906976744,0.981087838223463,1.0,-0.0532823814031937,2.0,1.0986122886681096,0.0779220779220779,0.0688729874776386
Domain Adaptation and Few-Shot Learning,2023,145,711,154,718,0.0688729874776386,0.2799442896935933,4.805013927576602,0.984759105867544,1.0,-0.2764390672101475,1.0,0.6931471805599453,0.0551724137931034,0.0522146200936262
Explainable Artificial Intelligence (XAI),2021,41,166,35,166,0.0186567164179104,0.2289156626506024,6.072289156626506,0.8590325018896445,1.0,-0.0387881567950767,1.0,0.6931471805599453,0.0975609756097561,0.0179431072210065
Explainable Artificial Intelligence (XAI),2022,52,233,41,166,0.0179431072210065,0.2771084337349397,3.72289156626506,0.9594557823129252,1.0,0.2580822042706745,2.0,1.0986122886681096,0.1153846153846153,0.0232558139534883
Explainable Artificial Intelligence (XAI),2023,72,372,52,233,0.0232558139534883,0.3090128755364807,5.167381974248927,0.911080340707338,1.0,0.1082984914900571,1.0,0.6931471805599453,0.0972222222222222,0.0259272596326971
Gaussian Processes and Bayesian Inference,2015,28,84,20,56,0.050251256281407,0.1607142857142857,2.571428571428572,0.8827160493827161,1.0,0.3690669405980582,3.5,1.5040773967762742,0.0357142857142857,0.0727272727272727
Gaussian Processes and Bayesian Inference,2016,20,60,28,84,0.0727272727272727,0.2738095238095238,2.880952380952381,0.917013865173144,1.0,-0.7025951091904035,4.5,1.7047480922384253,0.15,0.0359712230215827
Gaussian Processes and Bayesian Inference,2017,32,100,20,60,0.0359712230215827,0.2666666666666666,2.433333333333333,0.9164946519046724,1.0,0.2932905219907193,2.5,1.252762968495368,0.0625,0.0482654600301659
Gaussian Processes and Bayesian Inference,2018,35,117,32,100,0.0482654600301659,0.29,2.84,0.9197579845268798,1.0,-0.3135801210330395,4.0,1.6094379124341005,0.0285714285714285,0.0352467270896273
Gaussian Processes and Bayesian Inference,2019,36,141,35,117,0.0352467270896273,0.2564102564102564,3.3846153846153846,0.9332999999999998,0.9910233393177738,-0.3220737531710629,3.0,1.3862943611198906,0.0555555555555555,0.0255138199858256
Gaussian Processes and Bayesian Inference,2020,44,162,36,141,0.0255138199858256,0.2553191489361702,4.127659574468085,0.9264652047094388,1.0,-0.0838296928652653,2.5,1.252762968495368,0.0681818181818181,0.0234541577825159
Gaussian Processes and Bayesian Inference,2021,54,178,44,162,0.0234541577825159,0.3271604938271605,3.419753086419753,0.9539808937950446,1.0,0.0075382200038003,1.0,0.6931471805599453,0.0185185185185185,0.0236323851203501
Gaussian Processes and Bayesian Inference,2022,36,134,54,178,0.0236323851203501,0.3089887640449438,3.5730337078651684,0.9514739965190416,0.9953161592505856,-0.3818182913333792,0.0,0.0,0.0,0.0161001788908765
Gaussian Processes and Bayesian Inference,2023,31,116,36,134,0.0161001788908765,0.3059701492537313,3.2686567164179103,0.9540251454306624,1.0,-0.3634881095868065,1.0,0.6931471805599453,0.032258064516129,0.011163125675189
Generative Adversarial Networks and Image Synthesis,2017,35,138,20,80,0.0359712230215827,0.3125,4.25,0.8523135323689338,0.994940978077572,0.3827254428710458,19.0,2.995732273553991,0.4857142857142857,0.0527903469079939
Generative Adversarial Networks and Image Synthesis,2018,38,144,35,138,0.0527903469079939,0.2971014492753623,3.942028985507247,0.9220147603985988,1.0,-0.3210003199059157,11.0,2.4849066497880004,0.2105263157894736,0.0382678751258811
Generative Adversarial Networks and Image Synthesis,2019,60,231,38,144,0.0382678751258811,0.2916666666666667,3.861111111111111,0.9408695431922092,1.0,0.1051742709801448,5.5,1.8718021769015916,0.1833333333333333,0.0425230333097094
Generative Adversarial Networks and Image Synthesis,2020,68,247,60,231,0.0425230333097094,0.2987012987012987,3.636363636363636,0.9634013605442172,1.0,-0.1592739156249365,4.0,1.6094379124341005,0.1764705882352941,0.0362473347547974
Generative Adversarial Networks and Image Synthesis,2021,71,273,68,247,0.0362473347547974,0.2955465587044534,3.546558704453441,0.9609746732322896,1.0,-0.1535938846730244,1.0,0.6931471805599453,0.2112676056338028,0.0310722100656455
Generative Adversarial Networks and Image Synthesis,2022,70,312,71,273,0.0310722100656455,0.2747252747252747,4.007326007326007,0.9380938106843564,1.0,0.0074688866988639,2.0,1.0986122886681096,0.1428571428571428,0.0313059033989266
Generative Adversarial Networks and Image Synthesis,2023,89,444,70,312,0.0313059033989266,0.3333333333333333,4.724358974358975,0.9523906394170336,1.0,0.0233846467492808,2.0,1.0986122886681096,0.2247191011235955,0.0320489737126395
Generative Adversarial Networks and Image Synthesis,2024,24,120,89,444,0.0320489737126395,0.3175675675675675,5.328828828828829,0.9713975595665344,0.9974382763061334,-1.0021446526570617,1.0,0.6931471805599453,0.0833333333333333,0.0117016089712335
Human Pose and Action Recognition,2022,30,149,25,115,0.0109409190371991,0.2608695652173913,4.173913043478261,0.9434375000000002,0.0,0.2023262373558152,4.0,1.6094379124341005,0.1333333333333333,0.0134168157423971
Human Pose and Action Recognition,2023,34,184,30,149,0.0134168157423971,0.2751677852348993,4.832214765100671,0.9428317737859436,1.0,-0.090810732224881,2.0,1.0986122886681096,0.1470588235294117,0.0122434281598847
Human Pose and Action Recognition,2024,20,122,34,184,0.0122434281598847,0.2880434782608695,6.858695652173913,0.8996614793229587,0.9952515366554984,-0.2255162199402978,1.0,0.6931471805599453,0.05,0.0097513408093612
Machine Learning and Algorithms,2013,25,76,34,93,0.0952380952380952,0.1935483870967742,2.6451612903225805,0.8812214951417805,1.0,-0.2901815752562,2.0,1.0986122886681096,0.16,0.0712250712250712
Machine Learning and Algorithms,2014,31,83,25,76,0.0712250712250712,0.2631578947368421,2.6842105263157894,0.9209919261822378,1.0,0.0893256299949594,2.0,1.0986122886681096,0.0,0.0778894472361809
Machine Learning and Algorithms,2015,31,87,31,83,0.0778894472361809,0.2409638554216867,2.433734939759036,0.8823129251700682,0.9937532535137948,0.0331667884064343,2.0,1.0986122886681096,0.0,0.0805194805194805
Machine Learning and Algorithms,2016,39,114,31,87,0.0805194805194805,0.2183908045977011,2.5977011494252875,0.9311614065314432,1.0,-0.137767057473932,3.0,1.3862943611198906,0.0256410256410256,0.0701438848920863
Machine Learning and Algorithms,2017,55,169,39,114,0.0701438848920863,0.1929824561403508,2.649122807017544,0.9362880886426592,1.0,0.1675449459717395,2.0,1.0986122886681096,0.0727272727272727,0.0829562594268476
Machine Learning and Algorithms,2018,72,246,55,169,0.0829562594268476,0.2544378698224852,2.8757396449704142,0.957700957934194,1.0,-0.1344492521543583,4.0,1.6094379124341005,0.0694444444444444,0.0725075528700906
Machine Learning and Algorithms,2019,93,300,72,246,0.0725075528700906,0.2479674796747967,3.430894308943089,0.9615335174130129,0.9836363636363636,-0.095252075650833,3.0,1.3862943611198906,0.075268817204301,0.0659107016300496
Machine Learning and Algorithms,2020,116,403,93,300,0.0659107016300496,0.2833333333333333,3.2133333333333334,0.9701011024742168,1.0,-0.0637525992169973,3.0,1.3862943611198906,0.0603448275862069,0.0618336886993603
Machine Learning and Algorithms,2021,121,447,116,403,0.0618336886993603,0.3722084367245657,3.4838709677419355,0.9795958379430588,1.0,-0.1547531054142243,1.0,0.6931471805599453,0.0909090909090909,0.0529540481400437
Machine Learning and Algorithms,2022,168,664,121,447,0.0529540481400437,0.319910514541387,3.713646532438479,0.9787074829931968,0.995655523691307,0.349294321398534,1.0,0.6931471805599453,0.0297619047619047,0.0751341681574239
Machine Learning and Algorithms,2023,162,715,168,664,0.0751341681574239,0.3087349397590361,4.192771084337349,0.9851595181744892,0.9963590900422078,-0.2526676346804692,1.0,0.6931471805599453,0.0617283950617283,0.0583363341735686
Machine Learning and Algorithms,2024,60,310,162,715,0.0583363341735686,0.3230769230769231,6.0643356643356645,0.906630482371853,0.9995355487657208,-0.6885082696347125,1.0,0.6931471805599453,0.1166666666666666,0.0292540224280838
Multimodal Machine Learning Applications,2019,24,103,24,96,0.0241691842900302,0.2604166666666667,3.9375,0.8902326362643821,1.0,-0.3495903000852629,6.0,1.9459101490553128,0.125,0.0170092133238837
Multimodal Machine Learning Applications,2020,27,122,24,103,0.0170092133238837,0.1941747572815534,4.097087378640777,0.9217835618831338,1.0,-0.1659979728642993,5.0,1.791759469228055,0.1851851851851851,0.0143923240938166
Multimodal Machine Learning Applications,2021,44,217,27,122,0.0143923240938166,0.2131147540983606,4.311475409836065,0.9335745378483802,1.0,0.2893842169066816,2.0,1.0986122886681096,0.3409090909090909,0.0192560175054704
Multimodal Machine Learning Applications,2022,75,433,44,217,0.0192560175054704,0.2903225806451613,4.857142857142857,0.9572929006333508,1.0,0.5527731028902014,7.0,2.079441541679836,0.4,0.0335420393559928
Multimodal Machine Learning Applications,2023,149,889,75,433,0.0335420393559928,0.2748267898383372,8.226327944572748,0.9024663748126154,0.9930554313206637,0.4686606651514524,5.0,1.791759469228055,0.3154362416107382,0.0536550234065538
Multimodal Machine Learning Applications,2024,45,394,149,889,0.0536550234065538,0.2620922384701912,7.419572553430821,0.9656405928572256,0.9990363935946144,-0.891554688126047,1.0,0.6931471805599453,0.0888888888888888,0.0219405168210628
Natural Language Processing Techniques,2024,109,750,46,219,0.0165646380986676,0.3242009132420091,5.269406392694064,0.9430843598939654,1.0,1.1616112911543652,2.0,1.0986122886681096,0.2110091743119266,0.053144807411019
Neural Networks and Applications,2016,29,101,24,75,0.0623376623376623,0.12,2.6133333333333333,0.9054560599750106,0.0,-0.1779704358721381,5.0,1.791759469228055,0.2758620689655172,0.0521582733812949
Neural Networks and Applications,2017,42,156,29,101,0.0521582733812949,0.1881188118811881,3.128712871287129,0.93045986220157,1.0,0.1940290133381395,8.5,2.2512917986064958,0.1428571428571428,0.0633484162895927
Neural Networks and Applications,2018,83,330,42,156,0.0633484162895927,0.2115384615384615,4.358974358974359,0.8895692331507298,1.0,0.2768336593028535,8.0,2.19722457733622,0.1686746987951807,0.0835850956696878
Neural Networks and Applications,2019,131,521,83,330,0.0835850956696878,0.1969696969696969,3.9272727272727272,0.9665871711820256,1.0,0.1049142767350792,8.0,2.19722457733622,0.1984732824427481,0.0928419560595322
Neural Networks and Applications,2020,201,813,131,521,0.0928419560595322,0.2821497120921305,3.930902111324376,0.9834020250978176,1.0,0.1431207856117167,5.0,1.791759469228055,0.1343283582089552,0.1071428571428571
Neural Networks and Applications,2021,232,1028,201,813,0.1071428571428571,0.2164821648216482,4.511685116851169,0.9781309416025334,0.9952118165244012,-0.0537401791197491,1.0,0.6931471805599453,0.2241379310344827,0.1015317286652078
Neural Networks and Applications,2022,267,1142,232,1028,0.1015317286652078,0.2480544747081712,4.912451361867705,0.9815523405392752,0.9941737781164024,0.1620414294187595,2.0,1.0986122886681096,0.1423220973782771,0.1194096601073345
Neural Networks and Applications,2023,302,1348,267,1142,0.1194096601073345,0.2434325744308231,5.1541155866900175,0.9775675837549492,1.0,-0.0934222828632309,1.0,0.6931471805599453,0.0894039735099337,0.1087504501260352
Neural Networks and Applications,2024,187,862,302,1348,0.1087504501260352,0.2470326409495549,5.318991097922849,0.9862426672346818,0.9946033229657782,-0.1760975947875307,1.0,0.6931471805599453,0.0588235294117647,0.091175036567528
Neural dynamics and brain function,2021,23,93,27,101,0.0143923240938166,0.1881188118811881,3.4653465346534653,0.9325061224489796,1.0,-0.3546051877422744,3.0,1.3862943611198906,0.1739130434782608,0.0100656455142231
Privacy-Preserving Technologies in Data,2020,36,117,33,101,0.0233876683203401,0.2277227722772277,3.4257425742574257,0.8824816326530611,0.9891891891891892,-0.1969008629629671,5.5,1.8718021769015916,0.2222222222222222,0.0191897654584221
Privacy-Preserving Technologies in Data,2021,58,228,36,117,0.0191897654584221,0.3333333333333333,3.264957264957265,0.9050908704431928,0.9732101378206784,0.2784342331229901,2.0,1.0986122886681096,0.1896551724137931,0.0253829321663019
Privacy-Preserving Technologies in Data,2022,61,258,58,228,0.0253829321663019,0.25,4.307017543859649,0.9461402558802252,0.9815756455127782,0.0718352795543242,2.0,1.0986122886681096,0.081967213114754,0.0272808586762075
Privacy-Preserving Technologies in Data,2023,82,335,61,258,0.0272808586762075,0.2635658914728682,5.976744186046512,0.8235212690273559,1.0,0.0788847219314758,1.0,0.6931471805599453,0.0,0.0295282679150162
Privacy-Preserving Technologies in Data,2024,22,150,82,335,0.0295282679150162,0.2388059701492537,4.776119402985074,0.952573513220944,0.9905559632464764,-1.0067343896054135,1.0,0.6931471805599453,0.0454545454545454,0.0107264748902974
Reinforcement Learning in Robotics,2018,59,208,32,141,0.0482654600301659,0.2907801418439716,5.602836879432624,0.7975115634259466,0.9943480991256458,0.2074577717242145,6.0,1.9459101490553128,0.135593220338983,0.0594159113796576
Reinforcement Learning in Robotics,2019,89,352,59,208,0.0594159113796576,0.2067307692307692,3.4903846153846154,0.9413329387033372,1.0,0.05967813976347,6.0,1.9459101490553128,0.0898876404494382,0.0630758327427356
Reinforcement Learning in Robotics,2020,130,487,89,352,0.0630758327427356,0.2585227272727273,5.1875,0.9257601187378588,0.9867588066002694,0.0939128018490613,5.0,1.791759469228055,0.1,0.0692963752665245
Reinforcement Learning in Robotics,2021,170,676,130,487,0.0692963752665245,0.3121149897330595,4.579055441478439,0.9312902495581432,0.980791589184295,0.0709409912739014,1.0,0.6931471805599453,0.1235294117647058,0.074398249452954
Reinforcement Learning in Robotics,2022,143,621,170,676,0.074398249452954,0.2958579881656805,5.8609467455621305,0.9358084184907534,0.9890205459772544,-0.1510571377094622,1.0,0.6931471805599453,0.0209790209790209,0.063953488372093
Reinforcement Learning in Robotics,2023,133,603,143,621,0.063953488372093,0.2479871175523349,5.413848631239936,0.9538987269872022,0.99790948050328,-0.2886547770819945,0.0,0.0,0.0300751879699248,0.0478934101548433
Reinforcement Learning in Robotics,2024,41,186,133,603,0.0478934101548433,0.3134328358208955,5.266998341625207,0.9584959734509292,0.9995917708927526,-0.8708291570301081,0.0,0.0,0.0,0.0199902486591906
Sparse and Compressive Sensing Techniques,2013,36,92,31,88,0.0868347338935574,0.2272727272727272,2.477272727272727,0.9394627613752056,1.0,0.1663048669752229,3.0,1.3862943611198906,0.0555555555555555,0.1025641025641025
Sparse and Compressive Sensing Techniques,2014,43,125,36,92,0.1025641025641025,0.25,2.347826086956522,0.9239535393381546,1.0,0.0519660237316741,4.0,1.6094379124341005,0.0465116279069767,0.1080402010050251
Sparse and Compressive Sensing Techniques,2015,38,97,43,125,0.1080402010050251,0.208,2.848,0.9396518259727072,0.9675405742821472,-0.0903177932828653,3.0,1.3862943611198906,0.0526315789473684,0.0987012987012987
Sparse and Compressive Sensing Techniques,2016,52,136,38,97,0.0987012987012987,0.268041237113402,2.1030927835051547,0.9449982200071196,1.0,-0.0538113865552825,3.0,1.3862943611198906,0.0576923076923076,0.0935251798561151
Sparse and Compressive Sensing Techniques,2017,39,114,52,136,0.0935251798561151,0.1691176470588235,2.3823529411764706,0.9536942952533024,0.9620991253644317,-0.4630588713006327,2.0,1.0986122886681096,0.0,0.0588235294117647
Sparse and Compressive Sensing Techniques,2018,40,118,39,114,0.0588235294117647,0.2543859649122807,2.56140350877193,0.9437734277384426,1.0,-0.3778569988234803,2.0,1.0986122886681096,0.0,0.040281973816717
Sparse and Compressive Sensing Techniques,2019,61,179,40,118,0.040281973816717,0.211864406779661,2.915254237288136,0.933958951769925,1.0,0.0705021421870744,3.0,1.3862943611198906,0.0327868852459016,0.0432317505315379
Sparse and Compressive Sensing Techniques,2020,53,166,61,179,0.0432317505315379,0.329608938547486,2.670391061452514,0.9579946724950488,0.9915014164305948,-0.4242021990362934,2.0,1.0986122886681096,0.0566037735849056,0.0282515991471215
Sparse and Compressive Sensing Techniques,2021,52,174,53,166,0.0282515991471215,0.4156626506024096,2.6867469879518078,0.961128684818258,1.0,-0.2154211373261043,1.0,0.6931471805599453,0.0,0.0227571115973741
Sparse and Compressive Sensing Techniques,2022,40,140,52,174,0.0227571115973741,0.2758620689655172,2.9080459770114944,0.9633332812573232,1.0,-0.2394969658090127,0.0,0.0,0.05,0.0178890876565295
Sparse and Compressive Sensing Techniques,2023,46,170,40,140,0.0178890876565295,0.3357142857142857,3.914285714285714,0.8909476735158629,1.0,-0.0764763374813517,0.0,0.0,0.0217391304347826,0.0165646380986676
Statistical Methods and Inference,2020,30,101,28,77,0.0198440822111977,0.3506493506493506,2.25974025974026,0.936187078874356,1.0,-0.2146430748618608,1.5,0.9162907318741552,0.0,0.0159914712153518
Statistical Methods and Inference,2023,30,99,24,89,0.0107334525939177,0.3258426966292135,3.168539325842697,0.9298325033952016,1.0,0.0064014503554643,0.0,0.0,0.0,0.0108030248469571
Stochastic Gradient Optimization Techniques,2017,34,102,21,72,0.0377697841726618,0.2638888888888889,3.7222222222222223,0.8526748971193416,0.9790209790209792,0.3051353718969212,4.0,1.6094379124341005,0.1470588235294117,0.0512820512820512
Stochastic Gradient Optimization Techniques,2018,59,180,34,102,0.0512820512820512,0.2647058823529412,2.9019607843137254,0.9275908951361784,1.0,0.1469547803167792,7.0,2.079441541679836,0.1186440677966101,0.0594159113796576
Stochastic Gradient Optimization Techniques,2019,72,234,59,180,0.0594159113796576,0.3388888888888889,3.4444444444444446,0.9434256967828308,0.9881485383197258,-0.151918444330128,6.0,1.9459101490553128,0.1111111111111111,0.0510276399716513
Stochastic Gradient Optimization Techniques,2020,58,195,72,234,0.0510276399716513,0.3504273504273504,3.358974358974359,0.9569429771444772,1.0,-0.4997948275831572,5.5,1.8718021769015916,0.0862068965517241,0.0309168443496801
Stochastic Gradient Optimization Techniques,2021,87,285,58,195,0.0309168443496801,0.4358974358974359,3.476923076923077,0.9213595186587344,0.9996989312057806,0.2076346649983262,1.0,0.6931471805599453,0.0344827586206896,0.0380743982494529
Stochastic Gradient Optimization Techniques,2022,84,273,87,285,0.0380743982494529,0.3087719298245614,3.501754385964912,0.9642043343890382,0.9847718805941256,-0.0133784763137265,1.0,0.6931471805599453,0.0119047619047619,0.0375670840787119
Stochastic Gradient Optimization Techniques,2023,57,207,84,273,0.0375670840787119,0.36996336996337,3.912087912087912,0.9529695609861591,0.9810866754844152,-0.6022464518282815,0.0,0.0,0.0,0.0205257472092185
Topic Modeling,2019,32,118,30,119,0.0302114803625377,0.2605042016806723,4.26890756302521,0.9157396449704144,1.0,-0.2856896184899335,7.5,2.1400661634962708,0.25,0.0226789510985116
Topic Modeling,2020,49,280,32,118,0.0226789510985116,0.2711864406779661,3.983050847457627,0.9251607062019012,1.0,0.1406627965108846,9.0,2.302585092994046,0.3265306122448979,0.0261194029850746
Topic Modeling,2021,48,219,49,280,0.0261194029850746,0.1892857142857142,8.142857142857142,0.8162588488765771,1.0,-0.2169156003518013,2.0,1.0986122886681096,0.2083333333333333,0.0210065645514223
Topic Modeling,2022,88,559,48,219,0.0210065645514223,0.2191780821917808,5.041095890410959,0.9372243226212976,1.0,0.625601837348011,7.0,2.079441541679836,0.3977272727272727,0.0393559928443649
Topic Modeling,2023,179,1045,88,559,0.0393559928443649,0.1932021466905187,14.415026833631485,0.7696168461384496,0.9863854763268304,0.49237884636698,5.0,1.791759469228055,0.3966480446927374,0.0644580482535109
Topic Modeling,2024,102,645,179,1045,0.0644580482535109,0.2478468899521531,8.191387559808613,0.94986836847205,0.9970002695270708,-0.2589106924046294,1.0,0.6931471805599453,0.284313725490196,0.0497318381277425
