topic,year,n_papers,n_authors,topic_share_t1_bin,cross_topic_rate_t1_bin,connectivity_t1_bin,modularity_t1_bin,topic_growth_bin,log1p_median_c2_bin,hit_rate_2yr_bin,bridge_concentration_t1_bin
Statistical Methods and Inference,2023,30,99,q1,q3,q1,q2,q2,q1,q1,high
Stochastic Gradient Optimization Techniques,2016,21,72,q2,q3,q1,q1,q1,q2,q1,low_or_mid
Stochastic Gradient Optimization Techniques,2017,34,102,q2,q2,q2,q1,q3,q3,q3,high
Stochastic Gradient Optimization Techniques,2018,59,180,q2,q2,q1,q2,q2,q3,q2,high
Stochastic Gradient Optimization Techniques,2019,72,234,q3,q3,q2,q2,q1,q3,q2,high
Stochastic Gradient Optimization Techniques,2020,58,195,q2,q3,q2,q3,q1,q3,q2,high
Stochastic Gradient Optimization Techniques,2021,87,285,q2,q3,q2,q2,q3,q1,q1,high
Stochastic Gradient Optimization Techniques,2022,84,273,q2,q3,q2,q3,q2,q1,q1,high
Stochastic Gradient Optimization Techniques,2023,57,207,q2,q3,q2,q3,q1,q1,q1,high
Time Series Analysis and Forecasting,2024,23,118,q1,q3,q3,q1,q3,q2,q3,low_or_mid
Topic Modeling,2018,30,119,q1,q3,q2,q1,q3,q3,q2,high
Topic Modeling,2019,32,118,q2,q2,q3,q2,q1,q3,q3,high
Topic Modeling,2020,49,280,q1,q2,q2,q2,q2,q3,q3,high
Topic Modeling,2021,48,219,q2,q1,q3,q1,q1,q2,q3,high
Topic Modeling,2022,88,559,q1,q1,q3,q2,q3,q3,q3,high
Topic Modeling,2023,179,1045,q2,q1,q3,q1,q3,q3,q3,high
Topic Modeling,2024,102,645,q3,q1,q3,q3,q1,q1,q3,high
