topic,year,n_papers,n_authors,n_papers_t1,n_authors_t1,topic_share_t1,cross_topic_rate_t1,connectivity_t1,modularity_t1,bridge_concentration_t1,topic_growth,median_cites_2yr,log1p_median_c2,hit_rate_2yr,topic_share,cross_topic_rate,connectivity,modularity,bridge_concentration,avg_team_size,median_cites_3yr,citation_gini
Adversarial Robustness in Machine Learning,2019,87,356,51,180,0.0513595166163142,0.2611111111111111,3.2333333333333334,0.958434978419966,1.0,0.1824345576809865,9.0,2.302585092994046,0.16091954022988506,0.06165839829907867,0.2696629213483146,4.174157303370786,0.9666312881013992,0.9969054524713904,4.333333333333333,24.0,0.5770731492491302
Adversarial Robustness in Machine Learning,2020,109,419,87,356,0.06165839829907867,0.2696629213483146,4.174157303370786,0.9666312881013992,0.9969054524713904,-0.05930431793806967,5.0,1.791759469228055,0.12844036697247707,0.05810234541577825,0.3126491646778043,4.305489260143198,0.967167558056789,0.9955499764925867,4.18348623853211,8.0,0.5841360856269113
Adversarial Robustness in Machine Learning,2021,131,543,109,419,0.05810234541577825,0.3126491646778043,4.305489260143198,0.967167558056789,0.9955499764925867,-0.013351598982065838,1.0,0.6931471805599453,0.10687022900763359,0.05733041575492341,0.30755064456721914,4.206261510128914,0.9782335637114477,1.0,4.412213740458015,3.0,0.6856208132107805
Adversarial Robustness in Machine Learning,2022,133,576,131,543,0.05733041575492341,0.30755064456721914,4.206261510128914,0.9782335637114477,1.0,0.03676631011308107,2.0,1.0986122886681096,0.022556390977443608,0.059481216457960645,0.2795138888888889,4.795138888888889,0.9791223515406344,0.9931419554530564,4.669172932330827,4.0,0.5650629641588634
Adversarial Robustness in Machine Learning,2023,121,526,133,576,0.059481216457960645,0.2795138888888889,4.795138888888889,0.9791223515406344,0.9931419554530564,-0.3106286152869653,1.0,0.6931471805599453,0.04132231404958678,0.043572200216060494,0.2984790874524715,5.395437262357414,0.9493040262121993,0.9975424352190091,4.68595041322314,2.0,0.7627317400044673
Adversarial Robustness in Machine Learning,2024,31,152,121,526,0.043572200216060494,0.2984790874524715,5.395437262357414,0.9493040262121993,0.9975424352190091,-1.054457685104353,1.0,0.6931471805599453,0.0967741935483871,0.015114578254509995,0.19736842105263158,4.552631578947368,0.9486952454141471,0.0,4.903225806451613,,0.7006451612903226
Anomaly Detection Techniques and Applications,2021,22,80,13,46,0.006929637526652452,0.3695652173913043,2.9130434782608696,0.8768099799509913,0.0,0.32487408140814633,1.0,0.6931471805599453,0.13636363636363635,0.00962800875273523,0.325,3.025,0.9261662454750358,1.0,3.6818181818181817,2.5,0.7162534435261708
Anomaly Detection Techniques and Applications,2022,20,109,22,80,0.00962800875273523,0.325,3.025,0.9261662454750358,1.0,-0.07284754097505264,3.0,1.3862943611198906,0.25,0.008944543828264758,0.3394495412844037,7.321100917431193,0.8026080238189458,1.0,5.6,8.0,0.6878109452736318
Anomaly Detection Techniques and Applications,2023,30,147,20,109,0.008944543828264758,0.3394495412844037,7.321100917431193,0.8026080238189458,1.0,0.18687857563679344,2.5,1.252762968495368,0.03333333333333333,0.010803024846957148,0.30612244897959184,4.843537414965986,0.9252777427092539,1.0,5.033333333333333,4.0,0.5337448559670782
Anomaly Detection Techniques and Applications,2024,26,122,30,147,0.010803024846957148,0.30612244897959184,4.843537414965986,0.9252777427092539,1.0,0.15858630959046316,1.0,0.6931471805599453,0.19230769230769232,0.012676743052169674,0.09016393442622951,4.672131147540983,0.9205540166204986,0.0,4.6923076923076925,,0.6405835543766578
Auction Theory and Applications,2021,20,69,14,43,0.007462686567164179,0.37209302325581395,3.302325581395349,0.84375,0.8181818181818181,0.15749998368755946,0.0,0.0,0.0,0.0087527352297593,0.34782608695652173,3.449275362318841,0.8784722222222222,0.9605263157894737,3.6,1.0,0.625
Auction Theory and Applications,2023,24,87,17,62,0.007602862254025045,0.27419354838709675,3.3225806451612905,0.892261287586012,1.0,0.1265950441179582,0.0,0.0,0.0,0.008642419877565718,0.3563218390804598,3.9770114942528734,0.8640507332540628,0.9897610921501708,3.8333333333333335,0.5,0.6990740740740741
Bayesian Modeling and Causal Inference,2013,23,64,14,41,0.0392156862745098,0.21951219512195122,2.3902439024390243,0.8796334860474802,1.0,0.5123646140302784,3.0,1.3862943611198906,0.043478260869565216,0.06552706552706553,0.15625,2.28125,0.9161993270309248,0.0,2.9565217391304346,6.0,0.39069197795468463
Bayesian Modeling and Causal Inference,2015,23,66,15,44,0.03768844221105527,0.22727272727272727,2.5454545454545454,0.8558673469387756,1.0,0.4596753799773734,1.0,0.6931471805599453,0.0,0.05974025974025974,0.15151515151515152,2.5757575757575757,0.9153596538669553,1.0,3.0434782608695654,3.0,0.48568398727465534
Bayesian Modeling and Causal Inference,2016,21,64,23,66,0.05974025974025974,0.15151515151515152,2.5757575757575757,0.9153596538669553,1.0,-0.45752513150247776,1.0,0.6931471805599453,0.0,0.03776978417266187,0.21875,2.65625,0.921229338842975,1.0,3.1904761904761907,3.0,0.6610644257703081
