topic,year,n_papers,n_authors,topic_share_t1,cross_topic_rate_t1,connectivity_t1,modularity_t1,bridge_concentration_t1,topic_growth,median_cites_2yr,log1p_median_c2,hit_rate_2yr,topic_share,cross_topic_rate,connectivity,modularity,bridge_concentration,avg_team_size,median_cites_3yr,citation_gini
Auction Theory and Applications,2021,20,69,0.007419183889772125,0.37209302325581395,3.302325581395349,0.84375,0.8181818181818182,0.15637017649174734,0.0,0.0,0.0,0.008691873098652759,0.34782608695652173,3.449275362318841,0.8784722222222222,0.9605263157894738,3.6,1.0,0.625
Auction Theory and Applications,2022,24,88,0.008691873098652759,0.34782608695652173,3.449275362318841,0.8784722222222222,0.9605263157894738,-0.007419048416644536,0.0,0.0,0.0,0.008626887131560028,0.25,3.3181818181818183,0.9209983111277913,1.0,3.7083333333333335,1.0,0.7166666666666667
Auction Theory and Applications,2023,29,103,0.008626887131560028,0.25,3.3181818181818183,0.9209983111277913,1.0,-0.037335081565481154,0.0,0.0,0.0,0.008307075336579777,0.3592233009708738,3.70873786407767,0.8863932291666666,0.9965870307167235,3.7241379310344827,0.0,0.7509578544061303
Bayesian Modeling and Causal Inference,2013,23,64,0.04155124653739612,0.20930232558139536,2.3255813953488373,0.884,1.0,0.4518162871399469,3.0,1.3862943611198906,0.043478260869565216,0.06534090909090909,0.15625,2.28125,0.9161993270309245,0.0,2.9565217391304346,6.0,0.3882424984690753
Bayesian Modeling and Causal Inference,2015,23,66,0.03731343283582089,0.22727272727272727,2.5454545454545454,0.8558673469387755,1.0,0.4491173138658473,1.0,0.6931471805599453,0.0,0.058524173027989825,0.15151515151515152,2.5757575757575757,0.9153596538669551,1.0,3.0434782608695654,3.0,0.48568398727465534
Bayesian Modeling and Causal Inference,2016,21,64,0.058524173027989825,0.15151515151515152,2.5757575757575757,0.9153596538669551,1.0,-0.44414307013873255,1.0,0.6931471805599453,0.0,0.0375,0.21875,2.65625,0.9212293388429752,1.0,3.1904761904761907,3.0,0.6476190476190476
Bayesian Modeling and Causal Inference,2018,33,106,0.025487256371814093,0.2692307692307692,2.576923076923077,0.896858988638895,0.0,0.26143478954843324,2.0,1.0986122886681096,0.030303030303030304,0.03313253012048193,0.24528301886792453,3.169811320754717,0.923469387755102,1.0,3.3333333333333335,5.0,0.6015896671634376
Bayesian Modeling and Causal Inference,2019,28,83,0.03313253012048193,0.24528301886792453,3.169811320754717,0.923469387755102,1.0,-0.5148187177378456,1.5,0.9162907318741551,0.03571428571428571,0.019760056457304165,0.3132530120481928,2.7710843373493974,0.9233691284973337,0.9553072625698322,3.1785714285714284,3.0,0.6243131868131868
Bayesian Modeling and Causal Inference,2020,43,140,0.019760056457304165,0.3132530120481928,2.7710843373493974,0.9233691284973337,0.9553072625698322,0.1418801191955663,3.0,1.3862943611198906,0.023255813953488372,0.02278749337572867,0.3357142857142857,3.2714285714285714,0.9489371027832566,1.0,3.604651162790698,4.0,0.5108483824866831
Bayesian Modeling and Causal Inference,2021,45,146,0.02278749337572867,0.3357142857142857,3.2714285714285714,0.9489371027832566,1.0,-0.15217163721707916,0.0,0.0,0.0,0.01955671447196871,0.273972602739726,3.4383561643835616,0.9506940688660537,1.0,3.511111111111111,2.0,0.6703703703703704
Bayesian Modeling and Causal Inference,2022,47,183,0.01955671447196871,0.273972602739726,3.4383561643835616,0.9506940688660537,1.0,-0.14553977555015285,0.0,0.0,0.0,0.01689432063263839,0.2459016393442623,3.9562841530054644,0.9485690868110102,1.0,4.042553191489362,1.0,0.6632747456059205
Bayesian Modeling and Causal Inference,2023,69,244,0.01689432063263839,0.2459016393442623,3.9562841530054644,0.9485690868110102,1.0,0.15608573309824747,0.0,0.0,0.0,0.019765110283586365,0.29918032786885246,3.639344262295082,0.9427882274166058,1.0,3.681159420289855,0.0,0.7851662404092071
Computational Drug Discovery Methods,2023,21,105,0.003953989935298346,0.26,4.72,0.8132154006243496,0.0,0.4111197907292441,2.0,1.0986122886681096,0.047619047619047616,0.006015468347178459,0.1619047619047619,5.257142857142857,0.908947700063012,0.0,5.0,4.0,0.5620915032679739
Domain Adaptation and Few-Shot Learning,2017,23,87,0.030357142857142857,0.18181818181818182,3.3636363636363638,0.9096664231799367,0.0,0.12703470887131285,13.0,2.639057329615259,0.30434782608695654,0.034482758620689655,0.27586206896551724,3.7241379310344827,0.8968907178783722,1.0,3.869565217391304,32.0,0.6140468227424749
Domain Adaptation and Few-Shot Learning,2018,48,205,0.034482758620689655,0.27586206896551724,3.7241379310344827,0.8968907178783722,1.0,0.33392663035867143,13.0,2.639057329615259,0.2708333333333333,0.04819277108433735,0.16097560975609757,4.614634146341463,0.9475434027777778,0.9968237162519852,4.541666666666667,34.5,0.5503452516080212
Domain Adaptation and Few-Shot Learning,2019,63,284,0.04819277108433735,0.16097560975609757,4.614634146341463,0.9475434027777778,0.9968237162519852,-0.08044243611229307,7.0,2.0794415416798357,0.15873015873015872,0.04446012702893437,0.2640845070422535,4.704225352112676,0.9537135219425261,1.0,4.634920634920635,18.0,0.5390520694259012
Domain Adaptation and Few-Shot Learning,2020,127,523,0.04446012702893437,0.2640845070422535,4.704225352112676,0.9537135219425261,1.0,0.41384409774136044,6.0,1.9459101490553132,0.1889763779527559,0.06730259671436142,0.28680688336520077,4.409177820267686,0.9707075561480439,0.999656652360515,4.3858267716535435,10.0,0.7672911575708209
Domain Adaptation and Few-Shot Learning,2021,166,688,0.06730259671436142,0.28680688336520077,4.409177820267686,0.9707075561480439,0.999656652360515,0.0693456179746601,2.0,1.0986122886681096,0.1746987951807229,0.07214254671881791,0.32994186046511625,4.261627906976744,0.9810878382234627,1.0,4.379518072289157,5.0,0.6867667390874975
Domain Adaptation and Few-Shot Learning,2022,178,826,0.07214254671881791,0.32994186046511625,4.261627906976744,0.9810878382234627,1.0,-0.11985400402140467,2.0,1.0986122886681096,0.11797752808988764,0.06398274622573688,0.2711864406779661,4.728813559322034,0.987091316118284,1.0,4.775280898876405,4.0,0.6399191011235955
Domain Adaptation and Few-Shot Learning,2023,171,826,0.06398274622573688,0.2711864406779661,4.728813559322034,0.987091316118284,1.0,-0.2666603902721114,1.0,0.6931471805599453,0.08187134502923976,0.04898309939845317,0.3135593220338983,5.087167070217918,0.9850444115478265,1.0,5.011695906432749,2.0,0.7097568482610034
Explainable Artificial Intelligence (XAI),2020,35,166,0.013408609738884969,0.273972602739726,3.26027397260274,0.922533719370101,0.0,0.32240950135271795,4.0,1.6094379124341003,0.05714285714285714,0.018547959724430314,0.2289156626506024,6.072289156626506,0.8590325018896446,1.0,4.8,11.0,0.48378088077336195
Explainable Artificial Intelligence (XAI),2021,41,166,0.018547959724430314,0.2289156626506024,6.072289156626506,0.8590325018896446,1.0,-0.039911980870516395,1.0,0.6931471805599453,0.0975609756097561,0.017818339852238158,0.27710843373493976,3.7228915662650603,0.9594557823129252,1.0,4.170731707317073,3.0,0.7234461054287962
